ref_area.label,indicator.label,source.label,classif1.label,time,obs_value,note_indicator.label,note_source.label
Argentina,Gender wage gap by occupation (%),ARG - LFS - Encuesta Permanente de Hogares (Urban),Occupation (ISCO-08): Total,2018,-1.55,Currency: ARG - Argentine peso (ARS) | Time unit: Per hour | Accounting concept: Net | Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers,Employment definition: Excluding own-use production workers | Data reference period: Fourth quarter | Geographical coverage: Main cities or metropolitan areas
Argentina,Gender wage gap by occupation (%),ARG - LFS - Encuesta Permanente de Hogares (Urban),Occupation (ISCO-08): 1. Managers,2018,6.67,Currency: ARG - Argentine peso (ARS) | Time unit: Per hour | Accounting concept: Net | Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers,Employment definition: Excluding own-use production workers | Data reference period: Fourth quarter | Geographical coverage: Main cities or metropolitan areas
Argentina,Gender wage gap by occupation (%),ARG - LFS - Encuesta Permanente de Hogares (Urban),Occupation (ISCO-08): 2. Professionals,2018,20.08,Currency: ARG - Argentine peso (ARS) | Time unit: Per hour | Accounting concept: Net | Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers,Employment definition: Excluding own-use production workers | Data reference period: Fourth quarter | Geographical coverage: Main cities or metropolitan areas
Argentina,Gender wage gap by occupation (%),ARG - LFS - Encuesta Permanente de Hogares (Urban),Occupation (ISCO-08): 3. Technicians and associate professionals,2018,5.7,Currency: ARG - Argentine peso (ARS) | Time unit: Per hour | Accounting concept: Net | Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers,Employment definition: Excluding own-use production workers | Data reference period: Fourth quarter | Geographical coverage: Main cities or metropolitan areas
Argentina,Gender wage gap by occupation (%),ARG - LFS - Encuesta Permanente de Hogares (Urban),Occupation (ISCO-08): 4. Clerical support workers,2018,2.05,Currency: ARG - Argentine peso (ARS) | Time unit: Per hour | Accounting concept: Net | Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers,Employment definition: Excluding own-use production workers | Data reference period: Fourth quarter | Geographical coverage: Main cities or metropolitan areas
Argentina,Gender wage gap by occupation (%),ARG - LFS - Encuesta Permanente de Hogares (Urban),Occupation (ISCO-08): 5. Service and sales workers,2018,15.84,Currency: ARG - Argentine peso (ARS) | Time unit: Per hour | Accounting concept: Net | Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers,Employment definition: Excluding own-use production workers | Data reference period: Fourth quarter | Geographical coverage: Main cities or metropolitan areas
Argentina,Gender wage gap by occupation (%),ARG - LFS - Encuesta Permanente de Hogares (Urban),"Occupation (ISCO-08): 6. Skilled agricultural, forestry and fishery workers",2018,-8.79,Currency: ARG - Argentine peso (ARS) | Time unit: Per hour | Accounting concept: Net | Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers,Employment definition: Excluding own-use production workers | Data reference period: Fourth quarter | Geographical coverage: Main cities or metropolitan areas
Argentina,Gender wage gap by occupation (%),ARG - LFS - Encuesta Permanente de Hogares (Urban),Occupation (ISCO-08): 7. Craft and related trades workers,2018,0.97,Currency: ARG - Argentine peso (ARS) | Time unit: Per hour | Accounting concept: Net | Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers,Employment definition: Excluding own-use production workers | Data reference period: Fourth quarter | Geographical coverage: Main cities or metropolitan areas
Argentina,Gender wage gap by occupation (%),ARG - LFS - Encuesta Permanente de Hogares (Urban),"Occupation (ISCO-08): 8. Plant and machine operators, and assemblers",2018,24.78,Currency: ARG - Argentine peso (ARS) | Time unit: Per hour | Accounting concept: Net | Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers,Employment definition: Excluding own-use production workers | Data reference period: Fourth quarter | Geographical coverage: Main cities or metropolitan areas
Argentina,Gender wage gap by occupation (%),ARG - LFS - Encuesta Permanente de Hogares (Urban),Occupation (ISCO-08): 9. Elementary occupations,2018,-20.24,Currency: ARG - Argentine peso (ARS) | Time unit: Per hour | Accounting concept: Net | Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers,Employment definition: Excluding own-use production workers | Data reference period: Fourth quarter | Geographical coverage: Main cities or metropolitan areas
