id,indicator,indicator.label,freq,freq.label,size,data.start,data.end,last.update,n.records,collection,collection.label,subject,subject.label
SDG_0111_SEX_AGE_RT_A,SDG_0111_SEX_AGE_RT,"SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$1.90 PPP) (%)",A,Annual,308.98 KB,2000,2024,12/02/2020 17:11:22,33075,SDG,"SDG labour market indicators",SDG;EMP;WOM,"SDG labour market indicators | Employment | Women"
SDG_0131_SEX_SOC_RT_A,SDG_0131_SEX_SOC_RT,"SDG indicator 1.3.1 - Proportion of population covered by social protection floors/systems (%)",A,Annual,11.39 KB,1996,2018,12/03/2019 12:03:08,1896,SDG,"SDG labour market indicators",SDG;SOC;WOM,"SDG labour market indicators | Social protection | Women"
SDG_0552_OCU_RT_A,SDG_0552_OCU_RT,"SDG indicator 5.5.2 - Female share of employment in managerial positions (%)",A,Annual,21.26 KB,1991,2019,08/03/2020 07:03:40,2938,SDG,"SDG labour market indicators",SDG;EMP;WOM,"SDG labour market indicators | Employment | Women"
SDG_B821_NOC_RT_A,SDG_B821_NOC_RT,"SDG indicator 8.2.1 - Annual growth rate of output per worker (GDP constant 2011 international $ in PPP) (%)",A,Annual,46.06 KB,2001,2024,12/02/2020 17:11:22,4776,SDG,"SDG labour market indicators",SDG;LPY,"SDG labour market indicators | Labour productivity"
SDG_A821_NOC_RT_A,SDG_A821_NOC_RT,"SDG indicator 8.2.1 - Annual growth rate of output per worker (GDP constant 2010 US $) (%)",A,Annual,46.11 KB,2001,2024,12/02/2020 17:11:23,4776,SDG,"SDG labour market indicators",SDG;LPY,"SDG labour market indicators | Labour productivity"
SDG_A831_SEX_RT_A,SDG_A831_SEX_RT,"SDG indicator 8.3.1 - Proportion of informal employment in non-agricultural employment (%)",A,Annual,5.13 KB,2004,2018,08/03/2020 07:04:39,590,SDG,"SDG labour market indicators",SDG;EMP;WOM,"SDG labour market indicators | Employment | Women"
SDG_B831_SEX_RT_A,SDG_B831_SEX_RT,"SDG indicator 8.3.1 - Proportion of informal employment in non-agricultural employment -- Harmonized series (%)",A,Annual,7.99 KB,2000,2019,08/03/2020 07:05:10,1105,SDG,"SDG labour market indicators",SDG;EMP;WOM,"SDG labour market indicators | Employment | Women"
SDG_0851_SEX_OCU_NB_A,SDG_0851_SEX_OCU_NB,"SDG indicator 8.5.1 - Average hourly earnings of employees by sex (Local currency)",A,Annual,46.79 KB,2000,2018,08/03/2020 07:03:14,6651,SDG,"SDG labour market indicators",SDG;EAR;WOM,"SDG labour market indicators | Earnings and labour income | Women"
SDG_0852_SEX_AGE_RT_A,SDG_0852_SEX_AGE_RT,"SDG indicator 8.5.2 - Unemployment rate (%)",A,Annual,164.58 KB,2000,2024,08/03/2020 07:04:03,22166,SDG,"SDG labour market indicators",SDG;LUU;WOM,"SDG labour market indicators | Unemployment and labour underutilization | Women"
SDG_0852_SEX_DSB_RT_A,SDG_0852_SEX_DSB_RT,"SDG indicator 8.5.2 - Unemployment rate by disability status (%)",A,Annual,10.33 KB,2005,2019,08/03/2020 07:05:16,1305,SDG,"SDG labour market indicators",SDG;LUU;WOM,"SDG labour market indicators | Unemployment and labour underutilization | Women"
SDG_0861_SEX_RT_A,SDG_0861_SEX_RT,"SDG indicator 8.6.1 - Proportion of youth (aged 15-24 years) not in education, employment or training (%)",A,Annual,31.19 KB,2000,2019,08/03/2020 07:04:57,4244,SDG,"SDG labour market indicators",SDG;LUU;WOM,"SDG labour market indicators | Unemployment and labour underutilization | Women"
SDG_B871_SEX_AGE_RT_A,SDG_B871_SEX_AGE_RT,"SDG indicator 8.7.1 - Proportion of children engaged in economic activity and household chores (%)",A,Annual,2.38 KB,2010,2016,08/11/2018 16:58:37,216,SDG,"SDG labour market indicators",SDG;CHL;WOM,"SDG labour market indicators | Child labour | Women"
SDG_A871_SEX_AGE_RT_A,SDG_A871_SEX_AGE_RT,"SDG indicator 8.7.1 - Proportion of children engaged in economic activity (%)",A,Annual,2.76 KB,2010,2016,08/11/2018 16:58:37,243,SDG,"SDG labour market indicators",SDG;CHL;WOM,"SDG labour market indicators | Child labour | Women"
SDG_N881_SEX_MIG_RT_A,SDG_N881_SEX_MIG_RT,"SDG indicator 8.8.1 - Non-fatal occupational injuries per 100'000 workers",A,Annual,35.62 KB,2000,2018,08/03/2020 07:04:23,3868,SDG,"SDG labour market indicators",SDG;INJ,"SDG labour market indicators | Occupational injuries"
SDG_F881_SEX_MIG_RT_A,SDG_F881_SEX_MIG_RT,"SDG indicator 8.8.1 - Fatal occupational injuries per 100'000 workers",A,Annual,28.22 KB,2000,2018,08/03/2020 07:04:49,3910,SDG,"SDG labour market indicators",SDG;INJ,"SDG labour market indicators | Occupational injuries"
SDG_0922_NOC_RT_A,SDG_0922_NOC_RT,"SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%)",A,Annual,17.71 KB,1991,2019,08/03/2020 07:04:31,2200,SDG,"SDG labour market indicators",SDG;EMP,"SDG labour market indicators | Employment"
SDG_1041_NOC_RT_A,SDG_1041_NOC_RT,"SDG indicator 10.4.1 - Labour income share as a percent of GDP (%)",A,Annual,14.12 KB,2004,2017,12/02/2020 17:11:23,2730,SDG,"SDG labour market indicators",SDG;EAR,"SDG labour market indicators | Earnings and labour income"
GDP_211P_NOC_NB_A,GDP_211P_NOC_NB,"Output per worker (GDP constant 2011 international $ in PPP) -- ILO modelled estimates, Nov. 2019",A,Annual,75.93 KB,1991,2024,21/01/2020 15:48:58,9350,ILOEST,"ILO estimates",ILOEST;LPY,"ILO modelled estimates | Labour productivity"
GDP_205U_NOC_NB_A,GDP_205U_NOC_NB,"Output per worker (GDP constant 2010 US $) -- ILO modelled estimates, Nov. 2019",A,Annual,74.36 KB,1991,2024,21/01/2020 15:48:56,9350,ILOEST,"ILO estimates",ILOEST;LPY,"ILO modelled estimates | Labour productivity"
POP_2LDR_NOC_RT_A,POP_2LDR_NOC_RT,"Labour dependency ratio -- ILO modelled estimates, Nov. 2019",A,Annual,88.19 KB,1991,2024,21/01/2020 15:48:58,9350,ILOEST,"ILO estimates",ILOEST;EAP,"ILO modelled estimates | Population and labour force"
POP_2POP_SEX_AGE_NB_A,POP_2POP_SEX_AGE_NB,"Population by sex and age -- UN estimates and projections, July 2019 (thousands)",A,Annual,8.7 MB,1990,2030,21/01/2020 15:48:57,1116225,ILOEST,"ILO estimates",ILOEST;EAP,"ILO modelled estimates | Population and labour force"
POP_2POP_SEX_AGE_GEO_NB_A,POP_2POP_SEX_AGE_GEO_NB,"Population by sex, age and rural / urban areas -- UN estimates, July 2019 (thousands)",A,Annual,4 MB,1990,2015,21/01/2020 15:48:57,490050,ILOEST,"ILO estimates",ILOEST;EAP,"ILO modelled estimates | Population and labour force"
POP_2POP_GEO_NB_A,POP_2POP_GEO_NB,"Population by rural / urban areas -- UN estimates and projections, July 2019 (thousands)",A,Annual,288.46 KB,1990,2030,21/01/2020 15:48:59,33825,ILOEST,"ILO estimates",ILOEST;EAP,"ILO modelled estimates | Population and labour force"
EAP_2EAP_SEX_AGE_NB_A,EAP_2EAP_SEX_AGE_NB,"Labour force by sex and age -- ILO modelled estimates, July 2019 (thousands)",A,Annual,7.1 MB,1990,2030,21/01/2020 15:48:57,947100,ILOEST,"ILO estimates",ILOEST;EAP,"ILO modelled estimates | Population and labour force"
EAP_2EAP_SEX_AGE_GEO_NB_A,EAP_2EAP_SEX_AGE_GEO_NB,"Labour force by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2019 (thousands)",A,Annual,1.31 MB,2005,2024,21/01/2020 15:48:59,148500,ILOEST,"ILO estimates",ILOEST;EAP,"ILO modelled estimates | Population and labour force"
EAP_2MDN_SEX_NB_A,EAP_2MDN_SEX_NB,"Median age of the labour force by sex -- ILO modelled estimates, July 2019 (years)",A,Annual,238.38 KB,1990,2030,10/01/2020 08:28:05,26937,ILOEST,"ILO estimates",ILOEST;EAP,"ILO modelled estimates | Population and labour force"
EAP_2WAP_SEX_AGE_RT_A,EAP_2WAP_SEX_AGE_RT,"Labour force participation rate by sex and age -- ILO modelled estimates, July 2019 (%)",A,Annual,6.3 MB,1990,2030,21/01/2020 15:48:57,947100,ILOEST,"ILO estimates",ILOEST;EAP,"ILO modelled estimates | Population and labour force"
