"COU","Country","IND","Indicator","SEX","Sex","AGE","Age Group","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","EMP5","Share of employed in part-time employment, by sex and age group","MEN","Men","TOTAL","Total","2005","2005","PC","Percentage","0","Units",,,12,,
"AUS","Australia","EMP5","Share of employed in part-time employment, by sex and age group","MEN","Men","TOTAL","Total","2010","2010","PC","Percentage","0","Units",,,13.5,,
"AUS","Australia","EMP5","Share of employed in part-time employment, by sex and age group","WOMEN","Women","TOTAL","Total","2005","2005","PC","Percentage","0","Units",,,38.7,,
"AUS","Australia","EMP5","Share of employed in part-time employment, by sex and age group","WOMEN","Women","TOTAL","Total","2010","2010","PC","Percentage","0","Units",,,38.6,,
"AUT","Austria","EMP5","Share of employed in part-time employment, by sex and age group","MEN","Men","TOTAL","Total","1995","1995","PC","Percentage","0","Units",,,3.1,,
"AUT","Austria","EMP5","Share of employed in part-time employment, by sex and age group","MEN","Men","TOTAL","Total","2000","2000","PC","Percentage","0","Units",,,2.4,,
"AUT","Austria","EMP5","Share of employed in part-time employment, by sex and age group","MEN","Men","TOTAL","Total","2005","2005","PC","Percentage","0","Units",,,4.9,,
"AUT","Austria","EMP5","Share of employed in part-time employment, by sex and age group","MEN","Men","TOTAL","Total","2010","2010","PC","Percentage","0","Units",,,7.2,,
"AUT","Austria","EMP5","Share of employed in part-time employment, by sex and age group","WOMEN","Women","TOTAL","Total","1995","1995","PC","Percentage","0","Units",,,21.6,,
"AUT","Austria","EMP5","Share of employed in part-time employment, by sex and age group","WOMEN","Women","TOTAL","Total","2000","2000","PC","Percentage","0","Units",,,23.9,,
"AUT","Austria","EMP5","Share of employed in part-time employment, by sex and age group","WOMEN","Women","TOTAL","Total","2005","2005","PC","Percentage","0","Units",,,30.3,,
"AUT","Austria","EMP5","Share of employed in part-time employment, by sex and age group","WOMEN","Women","TOTAL","Total","2010","2010","PC","Percentage","0","Units",,,33,,
"BEL","Belgium","EMP5","Share of employed in part-time employment, by sex and age group","MEN","Men","TOTAL","Total","1990","1990","PC","Percentage","0","Units",,,4.4,,
"BEL","Belgium","EMP5","Share of employed in part-time employment, by sex and age group","MEN","Men","TOTAL","Total","1995","1995","PC","Percentage","0","Units",,,4.3,,
"BEL","Belgium","EMP5","Share of employed in part-time employment, by sex and age group","MEN","Men","TOTAL","Total","2000","2000","PC","Percentage","0","Units",,,6.9,,
"BEL","Belgium","EMP5","Share of employed in part-time employment, by sex and age group","MEN","Men","TOTAL","Total","2005","2005","PC","Percentage","0","Units",,,6.7,,
"BEL","Belgium","EMP5","Share of employed in part-time employment, by sex and age group","MEN","Men","TOTAL","Total","2010","2010","PC","Percentage","0","Units",,,6.7,,
"BEL","Belgium","EMP5","Share of employed in part-time employment, by sex and age group","WOMEN","Women","TOTAL","Total","1990","1990","PC","Percentage","0","Units",,,28.8,,
"BEL","Belgium","EMP5","Share of employed in part-time employment, by sex and age group","WOMEN","Women","TOTAL","Total","1995","1995","PC","Percentage","0","Units",,,29.9,,
"BEL","Belgium","EMP5","Share of employed in part-time employment, by sex and age group","WOMEN","Women","TOTAL","Total","2000","2000","PC","Percentage","0","Units",,,35.5,,
"BEL","Belgium","EMP5","Share of employed in part-time employment, by sex and age group","WOMEN","Women","TOTAL","Total","2005","2005","PC","Percentage","0","Units",,,33.1,,
"BEL","Belgium","EMP5","Share of employed in part-time employment, by sex and age group","WOMEN","Women","TOTAL","Total","2010","2010","PC","Percentage","0","Units",,,31.7,,
"CAN","Canada","EMP5","Share of employed in part-time employment, by sex and age group","MEN","Men","TOTAL","Total","1990","1990","PC","Percentage","0","Units",,,9.2,,
"CAN","Canada","EMP5","Share of employed in part-time employment, by sex and age group","MEN","Men","TOTAL","Total","1995","1995","PC","Percentage","0","Units",,,10.8,,
"CAN","Canada","EMP5","Share of employed in part-time employment, by sex and age group","MEN","Men","TOTAL","Total","2000","2000","PC","Percentage","0","Units",,,10.3,,
"CAN","Canada","EMP5","Share of employed in part-time employment, by sex and age group","MEN","Men","TOTAL","Total","2005","2005","PC","Percentage","0","Units",,,10.9,,
"CAN","Canada","EMP5","Share of employed in part-time employment, by sex and age group","MEN","Men","TOTAL","Total","2010","2010","PC","Percentage","0","Units",,,12.1,,
"CAN","Canada","EMP5","Share of employed in part-time employment, by sex and age group","WOMEN","Women","TOTAL","Total","1990","1990","PC","Percentage","0","Units",,,26.7,,
"CAN","Canada","EMP5","Share of employed in part-time employment, by sex and age group","WOMEN","Women","TOTAL","Total","1995","1995","PC","Percentage","0","Units",,,28.5,,
"CAN","Canada","EMP5","Share of employed in part-time employment, by sex and age group","WOMEN","Women","TOTAL","Total","2000","2000","PC","Percentage","0","Units",,,27.2,,
"CAN","Canada","EMP5","Share of employed in part-time employment, by sex and age group","WOMEN","Women","TOTAL","Total","2005","2005","PC","Percentage","0","Units",,,27,,
"CAN","Canada","EMP5","Share of employed in part-time employment, by sex and age group","WOMEN","Women","TOTAL","Total","2010","2010","PC","Percentage","0","Units",,,27.7,,
"CZE","Czech Republic","EMP5","Share of employed in part-time employment, by sex and age group","MEN","Men","TOTAL","Total","1995","1995","PC","Percentage","0","Units",,,1.8,,
"CZE","Czech Republic","EMP5","Share of employed in part-time employment, by sex and age group","MEN","Men","TOTAL","Total","2000","2000","PC","Percentage","0","Units",,,1.6,,
"CZE","Czech Republic","EMP5","Share of employed in part-time employment, by sex and age group","MEN","Men","TOTAL","Total","2005","2005","PC","Percentage","0","Units",,,1.6,,
"CZE","Czech Republic","EMP5","Share of employed in part-time employment, by sex and age group","MEN","Men","TOTAL","Total","2010","2010","PC","Percentage","0","Units",,,2.3,,
"CZE","Czech Republic","EMP5","Share of employed in part-time employment, by sex and age group","WOMEN","Women","TOTAL","Total","1995","1995","PC","Percentage","0","Units",,,5.6,,
"CZE","Czech Republic","EMP5","Share of employed in part-time employment, by sex and age group","WOMEN","Women","TOTAL","Total","2000","2000","PC","Percentage","0","Units",,,5.4,,
"CZE","Czech Republic","EMP5","Share of employed in part-time employment, by sex and age group","WOMEN","Women","TOTAL","Total","2005","2005","PC","Percentage","0","Units",,,5.5,,
"CZE","Czech Republic","EMP5","Share of employed in part-time employment, by sex and age group","WOMEN","Women","TOTAL","Total","2010","2010","PC","Percentage","0","Units",,,7,,
"DNK","Denmark","EMP5","Share of employed in part-time employment, by sex and age group","MEN","Men","TOTAL","Total","1990","1990","PC","Percentage","0","Units",,,10.2,,
"DNK","Denmark","EMP5","Share of employed in part-time employment, by sex and age group","MEN","Men","TOTAL","Total","1995","1995","PC","Percentage","0","Units",,,9.7,,
"DNK","Denmark","EMP5","Share of employed in part-time employment, by sex and age group","MEN","Men","TOTAL","Total","2000","2000","PC","Percentage","0","Units",,,9.1,,
"DNK","Denmark","EMP5","Share of employed in part-time employment, by sex and age group","MEN","Men","TOTAL","Total","2005","2005","PC","Percentage","0","Units",,,11.7,,
"DNK","Denmark","EMP5","Share of employed in part-time employment, by sex and age group","MEN","Men","TOTAL","Total","2010","2010","PC","Percentage","0","Units",,,13.5,,
"DNK","Denmark","EMP5","Share of employed in part-time employment, by sex and age group","WOMEN","Women","TOTAL","Total","1990","1990","PC","Percentage","0","Units",,,29.7,,
"DNK","Denmark","EMP5","Share of employed in part-time employment, by sex and age group","WOMEN","Women","TOTAL","Total","1995","1995","PC","Percentage","0","Units",,,25.8,,
"DNK","Denmark","EMP5","Share of employed in part-time employment, by sex and age group","WOMEN","Women","TOTAL","Total","2000","2000","PC","Percentage","0","Units",,,22.4,,
"DNK","Denmark","EMP5","Share of employed in part-time employment, by sex and age group","WOMEN","Women","TOTAL","Total","2005","2005","PC","Percentage","0","Units",,,23.9,,
"DNK","Denmark","EMP5","Share of employed in part-time employment, by sex and age group","WOMEN","Women","TOTAL","Total","2010","2010","PC","Percentage","0","Units",,,25.4,,
"FIN","Finland","EMP5","Share of employed in part-time employment, by sex and age group","MEN","Men","TOTAL","Total","1990","1990","PC","Percentage","0","Units",,,4.8,,
"FIN","Finland","EMP5","Share of employed in part-time employment, by sex and age group","MEN","Men","TOTAL","Total","1995","1995","PC","Percentage","0","Units",,,5.9,,
"FIN","Finland","EMP5","Share of employed in part-time employment, by sex and age group","MEN","Men","TOTAL","Total","2000","2000","PC","Percentage","0","Units",,,7.1,,
"FIN","Finland","EMP5","Share of employed in part-time employment, by sex and age group","MEN","Men","TOTAL","Total","2005","2005","PC","Percentage","0","Units",,,7.9,,
"FIN","Finland","EMP5","Share of employed in part-time employment, by sex and age group","MEN","Men","TOTAL","Total","2010","2010","PC","Percentage","0","Units",,,9.2,,
"FIN","Finland","EMP5","Share of employed in part-time employment, by sex and age group","WOMEN","Women","TOTAL","Total","1990","1990","PC","Percentage","0","Units",,,10.6,,
"FIN","Finland","EMP5","Share of employed in part-time employment, by sex and age group","WOMEN","Women","TOTAL","Total","1995","1995","PC","Percentage","0","Units",,,11.7,,
"FIN","Finland","EMP5","Share of employed in part-time employment, by sex and age group","WOMEN","Women","TOTAL","Total","2000","2000","PC","Percentage","0","Units",,,13.9,,
"FIN","Finland","EMP5","Share of employed in part-time employment, by sex and age group","WOMEN","Women","TOTAL","Total","2005","2005","PC","Percentage","0","Units",,,14.8,,
"FIN","Finland","EMP5","Share of employed in part-time employment, by sex and age group","WOMEN","Women","TOTAL","Total","2010","2010","PC","Percentage","0","Units",,,16,,
"FRA","France","EMP5","Share of employed in part-time employment, by sex and age group","MEN","Men","TOTAL","Total","1990","1990","PC","Percentage","0","Units",,,4.5,,
"FRA","France","EMP5","Share of employed in part-time employment, by sex and age group","MEN","Men","TOTAL","Total","1995","1995","PC","Percentage","0","Units",,,5.6,,
"FRA","France","EMP5","Share of employed in part-time employment, by sex and age group","MEN","Men","TOTAL","Total","2000","2000","PC","Percentage","0","Units",,,5.3,,
"FRA","France","EMP5","Share of employed in part-time employment, by sex and age group","MEN","Men","TOTAL","Total","2005","2005","PC","Percentage","0","Units",,,5,,
"FRA","France","EMP5","Share of employed in part-time employment, by sex and age group","MEN","Men","TOTAL","Total","2010","2010","PC","Percentage","0","Units",,,5.7,,
"FRA","France","EMP5","Share of employed in part-time employment, by sex and age group","WOMEN","Women","TOTAL","Total","1990","1990","PC","Percentage","0","Units",,,22.5,,
"FRA","France","EMP5","Share of employed in part-time employment, by sex and age group","WOMEN","Women","TOTAL","Total","1995","1995","PC","Percentage","0","Units",,,24.8,,
"FRA","France","EMP5","Share of employed in part-time employment, by sex and age group","WOMEN","Women","TOTAL","Total","2000","2000","PC","Percentage","0","Units",,,24.3,,
